tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt2367066,movie,Lord of Tears,Lord of Tears,0,2013,\N,104,"Drama,Horror",4.8,1600
tt2367954,movie,Strip Mahjong: Battle Royale,Datsui-mâjan batoru rowaiaru,0,2011,\N,77,"Horror,Thriller",4.0,234
tt2367972,movie,Untot - Undead Unleashed,Untot: Undead Unleashed,0,2009,\N,90,Horror,5.8,12
tt2367988,movie,Hell's Caretaker,Hell's Caretaker,0,2013,\N,75,"Horror,Thriller",3.7,116
tt2368606,movie,The Lost Tree,The Lost Tree,0,2016,\N,88,"Drama,Horror,Thriller",4.5,1535
tt2368639,movie,Blood Soaked,Blood Soaked,0,2013,\N,72,"Horror,Thriller",2.9,156
tt2368905,movie,Heavy Makeup,Heavy Makeup,0,2015,\N,120,"Horror,Mystery,Thriller",8.4,27
tt2369221,movie,Porkchop 3D,Porkchop 3D,0,2012,\N,\N,Horror,6.2,400
tt2369275,movie,Boogeyman Cometh,Scrape,0,2013,\N,80,"Horror,Mystery,Thriller",4.4,96
tt2369305,movie,Skull Forest,Skull Forest,0,2012,\N,74,"Action,Adventure,Horror",2.8,352
tt2369411,movie,Ghost Witch,The Legend of Seven Toe Maggie,0,2015,\N,97,Horror,3.8,155
tt2369573,movie,Zombie Hood,Zombie Hood,0,2013,\N,90,Horror,3.6,190
tt2369740,movie,Holland Road,Holland Road,0,2015,\N,52,"Crime,Horror,Thriller",3.5,57
tt2370228,movie,All I Need,All I Need,0,2016,\N,85,"Horror,Thriller",4.1,1463
tt2370410,movie,Revelation Trail,Revelation Trail,0,2013,\N,108,"Drama,Horror,Western",4.2,226
tt23711186,movie,Trinil,Trinil: Kembalikan Tubuhku,0,2024,\N,105,"Drama,Horror,Thriller",4.5,345
tt23712068,movie,Accept or Reject,Accept or Reject,0,2022,\N,150,"Horror,Thriller",8.3,24
tt2371452,movie,She's Dead,She's Dead,0,2012,\N,\N,Horror,6.8,50
tt2371456,movie,Vampire Club,Vampire Club 3D,0,2013,\N,\N,"Action,Horror",5.5,25
tt2371902,movie,The Uninvited Visitor,The Uninvited Visitor,0,2012,\N,\N,Horror,7.3,11
tt23722428,movie,The House of the Serpent,The House of the Serpent,0,2022,\N,77,"Drama,Horror,Mystery",4.7,18
tt2372251,movie,Down a Dark Hall,Down a Dark Hall,0,2018,\N,96,"Drama,Fantasy,Horror",5.0,15196
tt23723194,movie,The 166 Minutes of Madness,The 166 Minutes of Madness,0,2022,\N,166,Horror,8.4,6
tt23723678,movie,Sattam En Kaiyil,Sattam En Kaiyil,0,2024,\N,124,"Crime,Horror,Thriller",8.0,2190
tt2372429,movie,The Unborn Child,Sop Dek 2002,0,2011,\N,96,"Horror,Thriller",4.5,309
tt23726308,movie,Masooda,Masooda,0,2022,\N,160,"Horror,Thriller",7.2,1662
tt23736318,movie,Gacy: Serial Killer Next Door,Gacy: Serial Killer Next Door,0,2024,\N,97,Horror,3.3,472
tt2374196,movie,Solo,Solo,0,2013,\N,83,"Horror,Mystery,Thriller",4.7,1442
tt2374721,movie,51 Degrees North,51 Degrees North,0,2015,\N,\N,"Drama,Horror,Mystery",4.4,177
tt23747380,movie,Hanh Phúc Máu,Hanh Phúc Máu,0,2022,\N,108,"Drama,Horror,Thriller",5.2,72
tt23748546,movie,The Deadly Swarm,The Deadly Swarm,0,2024,\N,81,"Horror,Sci-Fi",2.4,180
tt23749162,movie,Hysteria virus,Virus Cuong Loan,0,2022,\N,75,"Comedy,Horror",2.3,14
tt2375021,movie,For My Brother,For min brors skyld,0,2014,\N,117,"Drama,Horror",6.6,777
tt2375045,movie,Dead Bite,Gancore Gud,0,2011,\N,94,"Comedy,Horror,Thriller",3.8,247
tt2375099,movie,Hacked Up for Barbecue,Hacked Up for Barbecue,0,2009,\N,75,Horror,3.1,18
tt2375196,movie,Monsters on Main Street,Monsters on Main Street,0,2014,\N,\N,"Comedy,Horror",4.4,31
tt2375253,movie,Living in Sin,Living in Sin,0,2012,\N,57,"Crime,Drama,Horror",7.7,69
tt2375318,movie,Baby Blues,Gui ying: Baby Blues,0,2013,\N,92,Horror,3.6,365
tt2375454,movie,Slasher House,Slasher House,0,2012,\N,92,Horror,3.8,543
tt2375505,movie,Severed Footage,Severed Footage,0,2012,\N,87,"Horror,Mystery,Thriller",4.6,407
tt2375574,movie,A Field in England,A Field in England,0,2013,\N,90,"Drama,History,Horror",6.2,14515
tt2375585,movie,Demon Hunter,Taryn Barker: Demon Hunter,0,2016,\N,85,"Action,Horror",3.5,484
tt2375637,movie,The Last Flesh & Blood Show,The Last Flesh & Blood Show,0,2012,\N,125,Horror,5.4,18
tt2375645,movie,The Man Near Skitter Creek,The Man Near Skitter Creek,0,2012,\N,57,"Comedy,Horror,Sci-Fi",6.0,20
tt2375805,movie,Cellular Girlfriend +,Keitai kanojo +,0,2012,\N,74,Horror,6.6,16
tt2375844,movie,Fractured,Fractured,0,2015,\N,89,"Drama,Horror,Thriller",2.5,345
tt2375906,movie,Scavenger Killers,Scavenger Killers,0,2014,\N,100,"Crime,Horror,Thriller",3.6,189
tt23759332,movie,Fearless Love,Fearless Love,0,2022,\N,122,"Comedy,Horror,Romance",4.1,314
tt2376440,movie,The Cabining,The Cabining,0,2014,\N,83,"Comedy,Horror,Thriller",4.1,977
tt2376660,movie,Fork You,Fork You,0,2013,\N,\N,"Comedy,Horror",2.8,34
tt23771950,movie,Manipula,Manipula,0,2024,\N,94,"Horror,Thriller",8.0,21
tt23772402,movie,The Fabric,The Fabric,0,2022,\N,90,"Comedy,Horror",4.7,114
tt2377322,movie,Deliver Us from Evil,Deliver Us from Evil,0,2014,\N,118,"Crime,Horror,Mystery",6.2,88306
tt23773712,movie,Bisikan Jenazah,Bisikan Jenazah,0,2021,\N,91,Horror,3.8,37
tt23777532,movie,Luz mala,Luz mala,0,2022,\N,71,Horror,4.7,27
tt2378000,movie,Fridge,Pridyider,0,2012,\N,90,Horror,4.0,163
tt2378057,movie,?: A Question Mark,?: A Question Mark,0,2012,\N,82,"Horror,Mystery,Thriller",5.8,401
tt2378067,movie,Abed,Abed,0,2012,\N,50,Horror,5.4,46
tt2378145,movie,Nun,Gas Light,0,2017,\N,80,"Horror,Mystery,Thriller",2.3,522
tt2378191,movie,The Haunting of Helena,The Haunting of Helena,0,2012,\N,84,"Horror,Thriller",4.6,4744
tt2378410,movie,Thrill Kill,Thrill Kill,0,2016,\N,85,"Crime,Horror,Thriller",7.8,19
tt2378453,movie,Avenged,Savaged,0,2013,\N,95,"Action,Fantasy,Horror",5.5,4601
tt23785128,movie,Founders Day,Founders Day,0,2023,\N,106,"Comedy,Horror,Mystery",4.4,2269
tt2378567,movie,Vampire Boys 2: The New Brood,Vampire Boys 2: The New Brood,0,2013,\N,75,Horror,2.5,297
tt23785676,movie,Un día cualquiera,Un día cualquiera,0,2024,\N,90,"Horror,Thriller",5.7,14
tt23789090,movie,Behave,Behave,0,2024,\N,88,"Horror,Mystery",3.0,134
tt2379118,movie,Towers of Terror,Towers of Terror,0,2013,\N,84,"Comedy,Horror",2.9,32
tt2379727,movie,Bukunja Tekunja Mitti: The Cannibals,Bukunja Tekunja Mitti: The Cannibals,0,2012,\N,76,"Action,Horror",9.1,68
tt2380035,movie,Cellular Boyfriend +,Keitai kareshi +,0,2012,\N,74,Horror,6.5,19
tt2380105,movie,Old Traditions,Old Traditions,0,2012,\N,70,"Crime,Horror,Thriller",4.0,23
tt2380250,movie,Los inocentes,Los inocentes,0,2013,\N,65,Horror,4.6,484
tt2380259,movie,All Strippers Must Die!,The G-string Horror,0,2012,\N,74,"Horror,Mystery,Thriller",3.3,83
tt2380293,movie,Tinsel,Tinsel,0,2012,\N,47,Horror,6.8,58
tt2380333,movie,Worm,Worm,0,2013,\N,93,"Horror,Romance,Sci-Fi",6.6,129
tt2380342,movie,Fat Planet,Fat Planet,0,2013,\N,82,"Comedy,Horror",2.8,67
tt23804618,movie,Campfire Dead by Dawn,Campfire Dead by Dawn,0,2024,\N,87,Horror,3.0,58
